Capital Gains / Losses - 2025
date,ticker,shares_sold,price_usd,proceeds_usd,exchange_rate_usd_cad,proceeds_cad,acb_used_cad,capital_gain_cad,taxable_gain_cad
2025-07-25,GOOG,380.565,193.9499954015739755363735499,73810.58,1.3704,101150.02,96528.49,4621.53,2310.77
2025-09-02,GOOG,112.126,208.5400353174107700265772435,23382.76,1.3789,32242.49,30117.86,2124.63,1062.32
2025-09-29,GOOG,51.431,251.1800276098073146545857557,12918.44,1.3921,17983.76,17751.56,232.20,116.10
2025-10-31,GOOG,60.789,282.4499498264488641037029726,17169.85,1.4018,24068.70,22192.77,1875.93,937.97
2025-12-08,GOOG,51.430,313.2399377795061248298658371,16109.93,1.3837,22291.31,23100.82,-809.51,-404.76
,,,,,,,,Total Taxable (CAD),4022.40

Year End Holdings & Cost Basis (2025)
ticker,shares,total_acb_cad,acb_per_share_cad
GOOG,60.829,26256.66,431.64711725
